"","loc.num","Freq"
"Acropora austera",18,70
"Acropora cervicornis",2,17
"Acropora cytherea",2,16
"Acropora digitifera",33,253
"Acropora florida",1,9
"Acropora horrida",1,8
"Acropora hyacinthus",50,693
"Acropora jacquelineae",1,7
"Acropora kimbeensis",1,7
"Acropora kirstyae",1,8
"Acropora microphthalma",4,28
"Acropora micropthalma",4,28
"Acropora millepora",38,437
"Acropora muricata",2,19
"Acropora palmata",91,784
"Acropora papillare",8,64
"Acropora pichoni",2,14
"Acropora pulchra",9,83
"Acropora rongelapensis",1,7
"Acropora sarmentosa",1,7
"Acropora solitaryensis",6,40
"Acropora sp. 1",9,54
"Acropora spathulata",4,34
"Acropora spicifera",15,150
"Acropora tenuis",95,1024
"Acropora tortuosa",1,7
"Acropora valida",6,41
"Acropora walindii",1,8
"Acropora yongei",1,13
