"","observation_id","species","location_name","Eastern.most.range.edge"
"1",91876,"austera","Global estimate",-137.6086773
"2",91976,"cytherea","Global estimate",-134.9639129
"3",91996,"digitifera","Global estimate",-137.5021341
"4",92066,"florida","Global estimate",-176.2305594
"5",92071,"muricata","Global estimate",-134.2099014
"6",92126,"horrida","Global estimate",-138.2249455
"7",92136,"hyacinthus","Global estimate",-104.3007769
"8",92166,"kimbeensis","Global estimate",164.0239422
"9",92171,"kirstyae","Global estimate",-173.3006236
"10",92256,"microphthalma","Global estimate",-103.9503259
"11",92261,"millepora","Global estimate",-175.7351989
"12",92336,"papillare","Global estimate",135.2594577
"13",92366,"pichoni","Global estimate",177.0184612
"14",92411,"pulchra","Global estimate",-133.3047249
"15",92461,"sarmentosa","Global estimate",-135.8634524
"16",92501,"solitaryensis","Global estimate",-173.0910021
"17",92511,"spicifera","Global estimate",-175.2127694
"18",92556,"tenuis","Global estimate",-137.0691494
"19",92586,"tortuosa","Global estimate",-137.8238749
"20",92611,"valida","Global estimate",-76.08572611
"21",92641,"walindii","Global estimate",-176.1601803
"22",92651,"yongei","Global estimate",-176.2447185
