"","observation_id","species","Growth.outline.type","location_name"
"1",109297,"austera","indeterminate","Global estimate"
"2",109304,"cervicornis","indeterminate","Global estimate"
"3",109307,"cytherea","determinate","Global estimate"
"4",109311,"digitifera","determinate","Global estimate"
"5",109319,"florida","indeterminate","Global estimate"
"6",109328,"horrida","indeterminate","Global estimate"
"7",109330,"hyacinthus","determinate","Global estimate"
"8",109333,"jacquelineae","indeterminate","Global estimate"
"9",109335,"kimbeensis","determinate","Global estimate"
"10",109336,"kirstyae","indeterminate","Global estimate"
"11",109347,"microphthalma","indeterminate","Global estimate"
"12",109348,"millepora","determinate","Global estimate"
"13",109352,"muricata","indeterminate","Global estimate"
"14",109355,"palmata","indeterminate","Global estimate"
"15",109358,"papillare","indeterminate","Global estimate"
"16",109360,"pichoni","determinate","Global estimate"
"17",109365,"pulchra","indeterminate","Global estimate"
"18",109368,"rongelapensis","indeterminate","Global estimate"
"19",109373,"sarmentosa","determinate","Global estimate"
"20",109377,"solitaryensis","determinate","Global estimate"
"21",109378,"spathulata","determinate","Global estimate"
"22",109380,"spicifera","determinate","Global estimate"
"23",109390,"tenuis","determinate","Global estimate"
"24",109392,"tortuosa","indeterminate","Global estimate"
"25",109396,"valida","determinate","Global estimate"
"26",109400,"walindii","indeterminate","Global estimate"
"27",109402,"yongei","indeterminate","Global estimate"
