"","observation_id","species","IUCN.Red.List.category","location_name"
"1",1662,"austera","NT","Global estimate"
"2",2571,"cervicornis","CR","Global estimate"
"3",3248,"cytherea","LC","Global estimate"
"4",3555,"digitifera","NT","Global estimate"
"5",4586,"florida","NT","Global estimate"
"6",4671,"muricata","NT","Global estimate"
"7",5562,"horrida","VU","Global estimate"
"8",5766,"hyacinthus","NT","Global estimate"
"9",6121,"jacquelineae","VU","Global estimate"
"10",6296,"kimbeensis","VU","Global estimate"
"11",6376,"kirstyae","VU","Global estimate"
"12",7656,"microphthalma","LC","Global estimate"
"13",7751,"millepora","NT","Global estimate"
"14",8784,"palmata","CR","Global estimate"
"15",9018,"papillare","VU","Global estimate"
"16",9430,"pichoni","NT","Global estimate"
"17",10126,"pulchra","LC","Global estimate"
"18",10439,"rongelapensis","DD","Global estimate"
"19",10930,"sarmentosa","LC","Global estimate"
"20",11498,"solitaryensis","VU","Global estimate"
"21",11619,"spathulata","LC","Global estimate"
"22",11749,"spicifera","VU","Global estimate"
"23",12483,"tenuis","NT","Global estimate"
"24",12894,"tortuosa","LC","Global estimate"
"25",13267,"valida","LC","Global estimate"
"26",13691,"walindii","VU","Global estimate"
"27",13923,"yongei","LC","Global estimate"
