"","observation_id","species","Species.age.phylogeny","location_name"
"1",119164,"austera",1.301597971,"Global estimate"
"2",119174,"cervicornis",3.236147164,"Global estimate"
"3",119180,"cytherea",1.241722003,"Global estimate"
"4",119184,"digitifera",0.720078524,"Global estimate"
"5",119197,"florida",3.797354201,"Global estimate"
"6",119209,"horrida",2.039169981,"Global estimate"
"7",119211,"hyacinthus",0.588742379,"Global estimate"
"8",119217,"jacquelineae",4.123425868,"Global estimate"
"9",119220,"kimbeensis",0.915888106,"Global estimate"
"10",119221,"kirstyae",1.304296977,"Global estimate"
"11",119236,"microphthalma",3.515839814,"Global estimate"
"12",119237,"millepora",0.886234689,"Global estimate"
"13",119242,"muricata",2.01943792,"Global estimate"
"14",119250,"palmata",3.236147164,"Global estimate"
"15",119253,"papillare",2.192603197,"Global estimate"
"16",119260,"pichoni",1.445675842,"Global estimate"
"17",119269,"pulchra",3.016105476,"Global estimate"
"18",119274,"rongelapensis",4.123425868,"Global estimate"
"19",119281,"sarmentosa",1.027237695,"Global estimate"
"20",119290,"solitaryensis",0.410822963,"Global estimate"
"21",119291,"spathulata",2.015757122,"Global estimate"
"22",119293,"spicifera",3.515839814,"Global estimate"
"23",119303,"tenuis",3.45986976,"Global estimate"
"24",119308,"tortuosa",1.60290891,"Global estimate"
"25",119313,"valida",0.551127181,"Global estimate"
"26",119319,"walindii",1.656926566,"Global estimate"
"27",119321,"yongei",0.708826428,"Global estimate"
