"","observation_id","species","Water.clarity.preference","location_name"
"1",1675,"austera","clear","Global estimate"
"2",2583,"cervicornis","clear","Global estimate"
"3",3261,"cytherea","clear","Global estimate"
"4",3568,"digitifera","clear","Global estimate"
"5",4600,"florida","clear","Global estimate"
"6",4685,"muricata","clear","Global estimate"
"7",5576,"horrida","turbid","Global estimate"
"8",5780,"hyacinthus","clear","Global estimate"
"9",5828,"papillare","clear","Global estimate"
"10",6135,"jacquelineae","clear","Global estimate"
"11",6309,"kimbeensis","clear","Global estimate"
"12",6388,"kirstyae","clear","Global estimate"
"13",7670,"microphthalma","turbid","Global estimate"
"14",7765,"millepora","clear","Global estimate"
"15",8796,"palmata","clear","Global estimate"
"16",9443,"pichoni","clear","Global estimate"
"17",10139,"pulchra","clear","Global estimate"
"18",10447,"rongelapensis","turbid","Global estimate"
"19",10943,"sarmentosa","clear","Global estimate"
"20",11511,"solitaryensis","clear","Global estimate"
"21",11632,"spathulata","clear","Global estimate"
"22",11762,"spicifera","clear","Global estimate"
"23",12497,"tenuis","clear","Global estimate"
"24",12908,"tortuosa","clear","Global estimate"
"25",13282,"valida","clear","Global estimate"
"26",13703,"walindii","clear","Global estimate"
"27",13936,"yongei","both","Global estimate"
