"","nobs","nclades","ntypes"
"Acropora austera",12,1,4
"Acropora cervicornis",15,4,5
"Acropora cytherea",37,2,14
"Acropora digitifera",10,2,6
"Acropora florida",15,1,6
"Acropora horrida",2,1,2
"Acropora hyacinthus",15,1,7
"Acropora jacquelineae",NA,NA,NA
"Acropora kimbeensis",NA,NA,NA
"Acropora kirstyae",NA,NA,NA
"Acropora microphthalma",3,1,3
"Acropora millepora",28,1,7
"Acropora muricata",NA,NA,NA
"Acropora palmata",8,1,2
"Acropora papillare",NA,NA,NA
"Acropora pichoni",NA,NA,NA
"Acropora pulchra",3,1,3
"Acropora rongelapensis",NA,NA,NA
"Acropora sarmentosa",1,1,1
"Acropora solitaryensis",6,1,3
"Acropora sp. 1",NA,NA,NA
"Acropora spathulata",NA,NA,NA
"Acropora spicifera",2,1,2
"Acropora tenuis",19,2,8
"Acropora tortuosa",NA,NA,NA
"Acropora valida",23,2,12
"Acropora walindii",NA,NA,NA
"Acropora yongei",2,1,1
